Crop_Category,Crop_Variety,Seed_Type,Temperature_Avg_C,Temperature_Min_C,Temperature_Max_C,Rainfall_mm,Humidity_Percent,Sunshine_Hours,Growing_Season_Days,Soil_pH,Nitrogen_kg_per_ha,Phosphorus_kg_per_ha,Potassium_kg_per_ha,Organic_Matter_Percent,Soil_Type,Soil_Moisture_Percent,Irrigation_Type,Season,Previous_Crop,Farm_Size_ha,Fertilizer_Nitrogen_kg_per_ha,Fertilizer_Phosphorus_kg_per_ha,Fertilizer_Potassium_kg_per_ha,Pesticide_Usage,Yield_tons_per_ha
Maize,Maize (Popcorn),HYV,25.21,17.55,32.74,749.89,62.23,7.47,96,6.27,89.1,43.58,44.86,3.49,Sandy,50.51,Sprinkler,Rabi,Wheat,8.8,81.62,54.11,46.37,1,7.173
Wheat,Wheat (Common),Hybrid,18.84,13.59,29.47,568.77,58.12,8.07,110,6.95,98.11,46.91,37.84,3.21,Black,66.16,Flood,Rabi,Sugarcane,12.68,101.75,52.47,35.95,0,5.657
Soybean,Soybean (Food Grade),HYV,27.94,21.96,37.84,765.54,76.06,8.24,94,6.74,23.59,43.98,38.25,2.09,Clayey,55.76,Sprinkler,Kharif,Rice,5.2,27.59,59.2,34.05,1,2.032
Wheat,Wheat (Sharbati),HYV,18.38,12.83,29.47,537.55,64.9,8.55,125,6.1,93.44,46.05,39.89,2.46,Loamy,49.89,Sprinkler,Rabi,Millet,3.52,88.38,40.82,39.21,0,4.367
Rice,Rice (Basmati),Hybrid,29.73,23.79,41.02,1065.84,80.58,8.23,133,6.94,72.77,33.07,38.6,4.88,Clayey,65.44,Flood,Kharif,Rice,4.19,79.29,38.07,42.12,1,5.235
Wheat,Wheat (Sharbati),HYV,21.59,14.38,28.75,493.74,60.13,7.95,116,7.2,80.94,45.4,38.04,3.59,Sandy,43.01,Drip,Rabi,Fallow,3.59,85.86,45.69,35.21,1,5.405
Rice,Rice (Basmati),Traditional,28.93,22.8,36.43,1316.89,83.2,8.66,136,7.17,67.66,33.3,34.48,3.04,Desert,68.46,Flood,Kharif,Maize,12.03,51.89,30.36,24.4,1,3.729
Wheat,Wheat (Sharbati),HYV,21.91,14.56,31.57,571.88,58.41,8.32,117,7.19,86.1,41.13,35.84,3.27,Alluvial,45.05,Drip,Rabi,Cotton,7.31,95.65,48.61,33.11,1,5.52
Rice,Rice (Sona Masuri),HYV,27.81,19.94,39.28,1173.58,78.6,8.9,123,6.1,71.37,40.98,44.63,2.11,Black,76.49,Flood,Kharif,Sugarcane,2.65,86.15,43.01,42.97,1,4.274
Maize,Maize (Sweet Corn),HYV,22.29,16.01,33.56,786.23,63.74,6.89,80,6.4,108.69,52.42,51.68,2.27,Black,71.65,Sprinkler,Kharif,Sugarcane,7.1,92.44,44.71,36.31,1,5.736
Millet,Millet (Sorghum/Jowar),HYV,29.39,21.56,38.05,632.1,66.43,9.05,114,6.29,62.27,35.6,28.41,3.22,Black,45.61,Sprinkler,Rabi,Maize,19.95,87.3,35.88,31.58,1,2.408
Soybean,Soybean (Food Grade),Traditional,28.91,22.43,37.79,800.32,77.24,6.17,92,6.51,27.82,50.42,31.22,2.15,Alluvial,57.44,Flood,Kharif,Millet,15.43,16.91,39.56,29.27,1,2.619
Rice,Rice (Basmati),Traditional,28.49,23.24,37.58,1279.65,72.81,7.34,133,7.12,64.11,32.93,33.46,4.24,Clayey,81.17,Flood,Kharif,Wheat,13.37,54.93,25.15,30.58,1,4.125
Millet,Millet (Foxtail),Hybrid,31.42,23.95,40.31,439.27,54.86,7.65,67,7.3,39.84,15.32,15.65,1.81,Sandy,35.85,Rainfed,Rabi,Pulses,3.95,33.46,21.87,17.09,0,0.865
Soybean,Soybean (Food Grade),HYV,24.4,18.48,34.68,670.27,64.56,6.6,102,7.25,28.14,54.32,39.12,3.28,Loamy,65.78,Rainfed,Kharif,Wheat,11.68,27.69,45.87,39.38,1,2.433
Wheat,Wheat (Durum),Traditional,18.98,12.06,26.64,479.74,56.56,8.21,140,7.09,95.01,51.83,34.48,2.15,Black,67.74,Rainfed,Rabi,Rice,3.89,67.26,44.3,27.3,1,4.261
Millet,Millet (Sorghum/Jowar),Hybrid,30.46,25.04,38.71,465.48,56.5,7.69,118,7.33,65.95,34.89,34.04,3.33,Black,62.32,Sprinkler,Kharif,Wheat,3.67,60.64,36.25,24.56,0,5.136
Wheat,Wheat (Durum),Traditional,21.25,14.71,31.7,547.04,60.59,9.82,140,7.08,80.34,52.83,37.67,2.34,Red,46.9,Drip,Rabi,Sugarcane,15.47,72.71,38.18,24.59,1,3.225
Soybean,Soybean (Food Grade),Traditional,24.33,17.61,32.02,895.62,76.3,6.4,96,7.22,21.01,57.32,39.43,3.37,Red,69.22,Sprinkler,Kharif,Fallow,1.69,20.15,32.17,29.18,1,1.835
Soybean,Soybean (Oil Grade),Hybrid,25.28,18.78,35.78,766.81,75.93,6.96,107,6.57,29.11,56.34,40.46,2.41,Black,56.06,Sprinkler,Zaid,Sugarcane,6.99,32.3,66.03,43.74,1,4.627
Maize,Maize (Feed Corn),Traditional,27.19,21.08,34.9,559.57,71.4,7.49,92,7.34,121.57,75.13,54.16,3.49,Red,76.29,Sprinkler,Kharif,Millet,18.06,118.3,48.5,48.5,1,5.248
Wheat,Wheat (Common),Traditional,17.64,11.82,25.81,503.73,55.23,8.64,124,6.54,92.14,47.74,30.28,2.15,Alluvial,69.56,Sprinkler,Rabi,Wheat,10.42,74.22,38.31,27.84,1,3.908
Maize,Maize (Popcorn),Traditional,25.54,18.42,36.64,698.35,64.41,6.68,87,6.47,94.89,50.46,41.64,2.95,Red,65.19,Drip,Kharif,Pulses,12.52,90.94,58.86,46.71,1,3.812
Millet,Millet (Sorghum/Jowar),Traditional,29.32,21.75,37.26,649.64,69.92,8.34,90,6.3,69.22,37.47,30.06,2.56,Black,49.5,Drip,Kharif,Soybean,3.36,50.05,27.19,24.66,1,3.059
Millet,Millet (Sorghum/Jowar),HYV,30.66,23.55,41.12,618.16,67.85,7.48,114,7.41,77.37,38.36,25.6,2.09,Clayey,53.94,Rainfed,Kharif,Rice,17.4,65.49,35.18,25.67,1,3.623
Maize,Maize (Popcorn),HYV,23.79,15.9,31.95,700.51,66.11,6.12,105,6.59,99.28,50.9,42.66,4.44,Loamy,52.12,Drip,Kharif,Fallow,19.14,60.46,38.45,32.44,1,7.674
Rice,Rice (Sona Masuri),HYV,26.93,21.04,34.61,1194.19,81.98,8.85,131,5.83,72.46,40.18,40.48,2.84,Alluvial,75.76,Drip,Kharif,Pulses,0.74,72.65,36.57,42.01,0,6.833
Maize,Maize (Sweet Corn),HYV,22.33,14.97,30.05,602.27,70.94,6.63,85,6.05,109.12,51.62,57.73,4.19,Loamy,62.84,Drip,Kharif,Fallow,7.95,76.65,36.95,35.44,1,9.75
Rice,Rice (Sona Masuri),HYV,26.65,20.62,38.12,1053.07,75.24,7.48,136,5.93,88.79,44.14,35.43,3.93,Loamy,64.24,Sprinkler,Kharif,Wheat,3.83,80.35,41.9,41.5,1,4.983
Rice,Rice (Basmati),Traditional,25.59,20.08,34.98,1368.94,72.09,7.32,137,6.32,62.31,38.36,35.02,2.04,Desert,80.07,Flood,Kharif,Millet,15.21,59.21,25.55,27.58,1,3.369
Millet,Millet (Foxtail),HYV,27.75,19.83,37.28,343.55,62.62,7.31,71,6.65,33.93,17.05,18.68,2.05,Red,57.46,Rainfed,Rabi,Pulses,6.28,29.38,18.56,16.35,1,1.233
Rice,Rice (Sona Masuri),Hybrid,30.58,24.3,40.84,1013.33,76.21,8.45,130,5.8,80.63,42.49,37.41,4.31,Loamy,81.66,Flood,Kharif,Cotton,18.71,78.22,42.34,45.33,1,4.769
Maize,Maize (Popcorn),HYV,26.58,21.19,33.83,748.8,70.0,6.58,95,6.37,98.67,59.5,46.08,3.4,Loamy,51.21,Sprinkler,Rabi,Pulses,13.77,89.31,54.03,43.48,1,6.576
Rice,Rice (Basmati),Traditional,26.6,19.43,37.33,1100.18,83.02,8.14,147,7.3,69.46,39.68,31.86,4.61,Clayey,79.41,Flood,Kharif,Soybean,18.28,55.39,24.01,28.79,0,3.145
Wheat,Wheat (Durum),Traditional,18.74,11.87,28.53,535.4,67.11,8.86,137,6.56,83.0,51.83,35.87,3.68,Black,66.4,Flood,Rabi,Soybean,10.88,79.32,38.22,31.02,0,3.368
Rice,Rice (Sona Masuri),Hybrid,27.82,19.88,37.7,1389.36,70.41,8.18,137,6.44,84.56,43.85,41.33,2.05,Red,62.99,Flood,Kharif,Cotton,15.23,89.87,39.93,44.79,1,5.947
Wheat,Wheat (Durum),Traditional,19.21,13.11,29.88,510.41,63.69,8.3,120,6.33,98.13,55.62,30.37,3.86,Black,47.81,Flood,Rabi,Soybean,14.11,64.67,36.2,30.1,1,4.583
Wheat,Wheat (Sharbati),Hybrid,20.59,14.34,27.63,472.83,56.2,8.1,117,6.61,88.57,47.18,32.38,3.4,Loamy,64.97,Drip,Kharif,Wheat,15.85,94.21,44.33,38.48,1,3.987
Millet,Millet (Sorghum/Jowar),Hybrid,32.34,25.83,40.54,536.21,50.83,8.66,112,7.64,60.98,36.7,32.53,3.24,Black,52.08,Drip,Kharif,Cotton,10.51,72.33,40.42,37.82,1,4.266
Rice,Rice (Sona Masuri),HYV,27.41,19.45,39.17,1294.12,84.57,6.32,125,5.61,89.44,35.6,43.57,3.92,Loamy,69.4,Sprinkler,Kharif,Soybean,18.06,71.14,43.65,44.06,0,5.23
Millet,Millet (Sorghum/Jowar),Traditional,30.68,25.31,42.5,631.11,67.29,9.01,99,7.61,74.94,37.67,30.73,2.34,Laterite,44.26,Sprinkler,Rabi,Rice,15.03,49.66,24.87,26.81,1,2.01
Millet,Millet (Pearl/Bajra),Hybrid,30.01,24.57,37.52,332.78,57.4,8.33,66,6.66,59.28,21.95,24.07,1.3,Loamy,35.66,Sprinkler,Kharif,Maize,4.82,57.16,23.18,26.07,1,3.578
Rice,Rice (Sona Masuri),Traditional,28.31,22.31,39.24,1037.59,84.62,6.35,129,6.05,87.31,35.74,38.75,2.84,Laterite,84.83,Sprinkler,Kharif,Fallow,3.77,58.01,29.72,30.15,0,3.999
Millet,Millet (Sorghum/Jowar),Hybrid,30.61,25.16,41.45,507.39,67.68,8.16,116,7.42,63.81,34.7,26.16,3.43,Alluvial,41.1,Rainfed,Zaid,Pulses,5.97,84.14,38.78,36.84,0,2.241
Rice,Rice (Basmati),Traditional,26.64,21.01,36.13,1238.01,83.52,6.1,148,6.02,73.14,33.65,36.11,4.09,Clayey,68.56,Flood,Kharif,Maize,1.16,50.87,25.81,24.2,1,5.02
Maize,Maize (Sweet Corn),HYV,24.6,19.47,33.31,735.59,68.33,7.38,92,6.42,104.25,54.15,52.94,2.28,Loamy,57.65,Drip,Rabi,Fallow,6.59,132.86,71.04,54.84,1,5.842
Wheat,Wheat (Durum),Hybrid,22.98,15.78,32.3,575.96,66.92,9.53,138,7.42,90.4,47.82,37.85,3.3,Black,61.27,Sprinkler,Rabi,Fallow,13.22,91.8,43.05,32.41,1,5.29
Rice,Rice (Basmati),Traditional,28.19,22.33,36.66,1199.8,82.79,7.5,150,6.87,70.98,32.19,34.29,3.96,Loamy,78.18,Rainfed,Kharif,Rice,1.24,53.04,24.92,24.86,1,4.129
Millet,Millet (Finger/Ragi),Traditional,26.27,20.59,36.85,686.83,57.06,7.96,106,5.69,34.5,23.8,15.31,2.99,Red,63.85,Sprinkler,Kharif,Sugarcane,18.23,34.02,17.56,14.05,1,1.579
Maize,Maize (Sweet Corn),Traditional,25.52,17.94,36.69,508.59,64.18,8.14,82,6.35,108.32,69.8,51.88,2.21,Laterite,61.5,Drip,Rabi,Rice,0.57,82.1,42.67,47.41,1,4.079
Millet,Millet (Foxtail),Hybrid,27.49,21.57,37.59,301.9,64.82,8.52,82,5.95,31.8,19.89,18.52,2.46,Red,48.37,Flood,Kharif,Sugarcane,4.07,38.25,20.79,18.54,1,1.801
Maize,Maize (Popcorn),Hybrid,25.48,19.31,32.6,721.14,55.78,6.35,102,6.48,91.58,51.96,43.22,3.88,Alluvial,57.16,Sprinkler,Kharif,Sugarcane,16.43,90.38,58.25,47.07,1,6.345
Wheat,Wheat (Common),HYV,19.95,12.22,28.5,440.14,55.32,7.73,111,7.22,87.36,41.76,33.43,2.87,Loamy,59.93,Sprinkler,Rabi,Wheat,2.1,86.49,41.11,34.38,1,5.594
Millet,Millet (Pearl/Bajra),Traditional,31.78,23.94,43.6,434.13,48.65,8.57,67,6.48,59.92,21.23,23.21,2.81,Sandy,41.89,Sprinkler,Kharif,Rice,4.64,46.15,21.29,23.09,1,1.99
Millet,Millet (Finger/Ragi),HYV,31.22,24.45,39.69,681.07,63.14,7.4,111,6.33,31.18,23.06,22.61,2.14,Desert,49.9,Sprinkler,Kharif,Maize,8.41,48.58,22.9,16.27,1,3.827
Millet,Millet (Finger/Ragi),Traditional,27.95,22.86,37.76,473.32,58.68,7.12,122,6.17,47.98,20.17,20.48,3.11,Red,50.17,Rainfed,Kharif,Wheat,18.07,26.35,17.64,13.45,0,1.628
Millet,Millet (Sorghum/Jowar),HYV,30.51,24.36,42.5,543.31,63.59,8.91,104,6.9,61.12,38.61,32.83,1.63,Sandy,49.99,Sprinkler,Rabi,Millet,4.95,76.15,38.58,25.54,1,3.562
Millet,Millet (Sorghum/Jowar),Traditional,27.63,20.88,35.55,651.92,66.47,8.02,126,7.16,78.36,30.68,31.56,3.45,Red,59.35,Sprinkler,Kharif,Sugarcane,5.12,49.88,24.95,21.75,1,3.334
Maize,Maize (Feed Corn),Traditional,24.04,18.16,32.44,775.06,71.87,8.05,98,6.74,144.64,75.71,52.14,3.03,Loamy,66.46,Sprinkler,Zaid,Cotton,11.44,107.94,51.41,55.33,0,5.842
Wheat,Wheat (Sharbati),HYV,19.34,11.72,28.01,488.98,51.84,8.35,122,6.69,84.61,43.32,34.71,3.79,Alluvial,57.01,Drip,Rabi,Sugarcane,4.22,93.17,44.78,32.26,1,6.5
Soybean,Soybean (Oil Grade),Traditional,25.09,18.21,32.3,910.63,74.42,6.33,101,7.17,21.58,53.67,40.95,2.49,Sandy,79.92,Flood,Kharif,Pulses,2.44,21.8,55.45,31.41,1,3.095
Millet,Millet (Sorghum/Jowar),Traditional,30.17,24.9,41.01,401.34,66.49,7.43,107,6.71,61.46,36.38,27.63,1.99,Black,58.77,Sprinkler,Rabi,Wheat,17.48,60.06,26.44,26.99,1,2.48
Millet,Millet (Pearl/Bajra),Hybrid,31.54,25.34,41.49,440.86,57.74,10.92,76,6.94,49.6,23.82,22.47,2.37,Black,42.58,Sprinkler,Kharif,Pulses,12.94,46.48,26.77,32.13,1,2.136
Soybean,Soybean (Oil Grade),HYV,28.07,20.73,37.12,740.34,68.44,7.78,114,6.1,22.1,61.48,36.22,2.55,Black,78.02,Sprinkler,Kharif,Soybean,12.29,21.7,57.53,39.38,1,4.522
Soybean,Soybean (Oil Grade),Traditional,25.17,17.84,37.14,870.82,65.35,8.3,118,7.29,21.64,66.79,44.43,3.18,Loamy,66.56,Rainfed,Zaid,Fallow,7.93,17.19,44.57,32.05,1,2.65
Wheat,Wheat (Sharbati),Hybrid,19.68,14.07,27.02,451.48,54.76,8.25,135,6.64,94.73,41.33,32.87,2.17,Loamy,55.4,Sprinkler,Rabi,Rice,5.7,107.14,52.56,33.64,1,3.484
Wheat,Wheat (Sharbati),Traditional,18.98,13.51,27.91,562.03,56.79,7.35,122,7.36,88.3,42.4,32.42,2.48,Loamy,40.06,Drip,Rabi,Soybean,6.55,64.89,33.96,29.46,1,3.719
Soybean,Soybean (Food Grade),HYV,27.17,19.7,34.44,806.51,63.73,6.86,90,6.69,20.79,47.44,37.16,2.86,Black,58.37,Rainfed,Kharif,Millet,14.17,20.22,58.52,31.35,1,2.092
Rice,Rice (Basmati),Hybrid,25.17,18.68,32.95,1091.46,75.48,7.3,133,7.46,64.43,38.06,30.58,4.76,Clayey,81.86,Sprinkler,Kharif,Wheat,13.14,67.67,30.95,28.85,1,6.5
Rice,Rice (Non-Basmati),HYV,29.9,24.27,40.38,1254.89,87.46,7.01,134,6.07,116.69,55.62,44.87,4.85,Loamy,73.93,Flood,Rabi,Sugarcane,4.2,70.95,35.99,46.16,0,7.662
Wheat,Wheat (Common),Traditional,21.44,15.38,29.67,525.69,50.87,8.49,130,6.61,99.45,47.19,39.34,3.77,Loamy,43.95,Sprinkler,Rabi,Pulses,11.19,71.46,38.02,28.57,0,6.323
Rice,Rice (Basmati),HYV,27.18,21.18,35.89,1369.51,73.35,7.93,141,6.0,66.0,36.46,39.74,4.54,Alluvial,60.59,Sprinkler,Kharif,Cotton,3.47,66.94,30.63,29.52,0,5.348
Maize,Maize (Feed Corn),Hybrid,23.99,18.55,35.56,604.16,61.88,7.2,104,7.3,143.64,70.63,53.48,3.78,Loamy,63.86,Sprinkler,Kharif,Maize,14.86,151.49,83.56,71.8,1,9.812
Rice,Rice (Non-Basmati),HYV,29.74,24.04,41.34,1387.46,88.4,6.14,128,5.55,90.89,57.24,40.73,3.31,Black,67.94,Flood,Kharif,Rice,19.08,102.34,42.26,47.23,1,5.787
Millet,Millet (Foxtail),Traditional,30.77,23.27,42.49,409.71,63.83,7.36,73,6.05,38.35,15.7,16.56,2.84,Sandy,49.01,Rainfed,Kharif,Wheat,14.1,24.71,14.68,12.02,1,0.988
Soybean,Soybean (Food Grade),Hybrid,27.61,19.63,39.21,784.48,67.98,7.16,97,7.0,28.06,59.73,36.11,3.04,Black,53.79,Rainfed,Rabi,Cotton,14.74,28.59,60.48,35.31,1,2.333
Wheat,Wheat (Durum),Traditional,19.28,12.2,28.3,456.29,58.26,8.65,126,6.03,82.57,52.45,33.21,3.12,Black,57.7,Drip,Rabi,Pulses,8.66,77.29,39.86,24.04,0,3.637
Millet,Millet (Pearl/Bajra),Hybrid,28.51,20.94,38.22,473.28,59.98,10.87,74,6.73,46.64,21.16,21.01,1.56,Sandy,39.21,Drip,Kharif,Wheat,5.29,58.18,23.33,26.64,1,3.527
Millet,Millet (Pearl/Bajra),Hybrid,31.18,25.8,43.0,426.75,52.0,9.45,78,6.81,54.99,29.42,21.4,1.8,Sandy,54.26,Rainfed,Kharif,Soybean,13.69,56.18,30.84,24.73,0,0.998
Millet,Millet (Pearl/Bajra),HYV,28.37,20.59,36.42,528.11,50.96,9.05,69,6.1,49.53,21.64,29.49,1.27,Sandy,35.89,Sprinkler,Kharif,Fallow,17.73,53.31,26.39,29.09,1,2.484
Wheat,Wheat (Common),Traditional,20.56,13.92,30.18,597.96,62.36,9.69,114,6.15,80.17,44.35,37.69,3.56,Alluvial,63.62,Flood,Rabi,Cotton,5.61,75.18,35.09,27.65,1,5.178
Millet,Millet (Foxtail),HYV,26.97,21.3,36.39,325.63,50.81,9.01,81,7.09,39.63,21.49,15.7,2.6,Red,58.8,Rainfed,Kharif,Wheat,2.45,34.25,24.4,19.29,1,1.449
Rice,Rice (Sona Masuri),Hybrid,30.15,22.23,39.43,1038.87,81.48,7.14,122,6.22,88.51,36.71,43.49,3.05,Loamy,63.42,Sprinkler,Kharif,Soybean,10.7,75.64,40.6,36.76,0,6.604
Millet,Millet (Finger/Ragi),Hybrid,27.89,19.91,37.64,422.71,61.49,8.7,115,6.98,47.3,28.66,15.93,2.06,Red,52.02,Drip,Kharif,Maize,9.79,39.58,25.3,25.78,1,2.891
Maize,Maize (Popcorn),HYV,26.2,18.21,37.53,599.38,60.28,8.88,101,6.53,90.29,50.33,42.02,3.82,Loamy,53.42,Drip,Rabi,Pulses,19.63,96.73,44.61,47.11,1,6.449
Millet,Millet (Sorghum/Jowar),Hybrid,31.97,26.72,40.57,527.53,59.17,7.07,91,6.54,78.04,30.07,34.18,2.75,Loamy,44.04,Rainfed,Kharif,Rice,10.96,79.27,39.86,31.38,1,1.944
Wheat,Wheat (Durum),Hybrid,22.87,16.57,31.85,460.06,67.89,7.42,129,6.69,80.74,40.82,36.58,3.88,Loamy,64.43,Sprinkler,Rabi,Maize,16.03,89.59,46.33,35.7,1,7.15
Rice,Rice (Basmati),Traditional,29.54,24.48,38.28,1359.5,81.5,7.25,135,7.07,68.33,37.57,32.27,2.66,Alluvial,64.04,Flood,Kharif,Rice,6.4,57.71,27.91,27.26,1,3.299
Millet,Millet (Sorghum/Jowar),HYV,28.55,21.79,36.74,472.04,56.9,8.98,106,6.54,61.11,38.89,32.91,2.05,Black,47.75,Sprinkler,Kharif,Cotton,8.32,45.85,22.24,23.96,1,3.109
Maize,Maize (Feed Corn),HYV,27.15,21.95,38.6,675.61,63.62,8.34,99,6.17,144.4,63.15,66.44,2.29,Alluvial,62.37,Flood,Kharif,Wheat,19.45,126.09,55.59,48.61,0,8.111
Rice,Rice (Non-Basmati),Traditional,31.47,25.36,38.7,1250.11,80.62,7.22,118,6.99,88.68,41.22,43.12,3.33,Loamy,77.66,Sprinkler,Kharif,Maize,9.28,89.43,32.64,37.32,1,5.382
Millet,Millet (Foxtail),Hybrid,26.52,18.71,34.78,456.47,51.12,8.33,70,6.98,36.37,15.68,18.73,2.81,Sandy,55.12,Flood,Kharif,Sugarcane,7.5,41.99,20.54,22.72,1,2.747
Soybean,Soybean (Oil Grade),Hybrid,29.16,24.07,40.91,888.66,67.92,7.78,116,7.31,24.3,55.38,35.72,2.76,Alluvial,65.83,Sprinkler,Kharif,Rice,13.33,29.46,56.49,42.81,1,2.964
Rice,Rice (Sona Masuri),Traditional,27.12,20.82,39.02,1085.95,82.72,8.48,140,5.74,82.56,40.92,35.27,2.23,Red,63.92,Sprinkler,Kharif,Fallow,12.44,48.82,26.95,29.39,0,3.181
Maize,Maize (Sweet Corn),Traditional,26.62,19.18,35.92,518.85,69.59,6.63,90,6.4,105.66,63.67,46.73,3.09,Black,56.94,Drip,Rabi,Fallow,4.25,88.86,45.7,45.93,1,7.462
Rice,Rice (Basmati),Traditional,26.88,19.63,35.85,1414.58,78.54,6.19,138,6.62,65.47,30.56,38.65,4.44,Desert,84.99,Flood,Rabi,Maize,5.32,63.26,28.85,25.83,1,3.408
Rice,Rice (Basmati),Hybrid,28.59,20.61,39.08,1146.9,80.08,8.11,131,6.47,75.66,34.43,34.85,4.33,Clayey,69.56,Sprinkler,Kharif,Rice,17.83,72.96,36.76,35.14,1,4.392
Millet,Millet (Finger/Ragi),Hybrid,25.3,19.62,34.45,462.36,55.43,8.54,126,6.38,48.94,21.21,16.12,2.05,Loamy,53.66,Rainfed,Kharif,Sugarcane,5.99,42.78,31.6,19.96,1,2.78
Rice,Rice (Non-Basmati),HYV,31.33,24.79,42.03,1249.22,78.96,6.97,127,5.93,117.38,55.93,41.11,5.0,Loamy,82.37,Sprinkler,Kharif,Rice,14.87,83.41,46.28,53.16,0,7.732
Rice,Rice (Basmati),Traditional,25.36,18.31,34.88,1382.57,77.28,6.45,130,6.8,77.2,32.13,36.08,2.25,Black,76.08,Flood,Kharif,Cotton,16.45,55.28,30.03,25.06,0,2.809
Millet,Millet (Sorghum/Jowar),Traditional,29.28,23.56,38.94,573.7,62.9,8.35,129,6.81,64.05,38.24,32.36,3.15,Black,59.34,Rainfed,Kharif,Pulses,5.92,44.88,25.51,17.69,1,1.247
Millet,Millet (Finger/Ragi),Traditional,31.59,26.56,42.86,454.48,53.11,9.73,121,6.37,47.07,26.66,18.54,2.71,Loamy,57.41,Rainfed,Kharif,Cotton,11.85,38.79,22.87,16.07,1,2.105
Maize,Maize (Popcorn),Traditional,22.73,17.08,30.65,676.79,67.71,6.71,93,6.71,97.65,52.72,45.41,3.94,Alluvial,67.1,Rainfed,Rabi,Sugarcane,12.69,70.28,47.8,32.05,0,4.977
Maize,Maize (Sweet Corn),HYV,24.04,17.05,31.62,666.7,67.77,6.1,97,6.42,112.98,50.09,59.76,3.88,Black,74.71,Drip,Rabi,Millet,9.26,108.65,64.51,54.01,1,9.746
Millet,Millet (Finger/Ragi),HYV,26.56,21.01,36.89,597.16,59.84,7.44,107,6.3,40.07,21.33,20.15,2.93,Loamy,52.34,Sprinkler,Kharif,Maize,2.02,42.38,25.57,16.88,0,4.291
Rice,Rice (Non-Basmati),HYV,30.42,25.31,38.72,1447.73,75.11,8.19,127,7.02,101.03,52.49,55.15,4.52,Alluvial,84.05,Drip,Kharif,Rice,7.83,97.42,51.19,52.57,0,6.292
Wheat,Wheat (Common),Hybrid,20.67,13.95,28.02,436.33,53.03,8.77,114,6.17,97.06,41.73,37.21,1.61,Loamy,49.95,Rainfed,Rabi,Sugarcane,15.7,94.43,51.8,40.41,0,3.609
Soybean,Soybean (Food Grade),HYV,29.71,22.87,38.91,893.24,72.02,8.96,103,6.22,21.36,57.72,34.64,3.36,Alluvial,74.37,Drip,Kharif,Rice,13.68,24.29,48.32,30.2,0,3.149
Millet,Millet (Foxtail),Hybrid,31.8,26.56,39.71,374.98,49.57,7.7,60,6.88,37.12,15.88,15.57,2.02,Laterite,53.22,Rainfed,Kharif,Maize,15.45,39.09,27.42,20.59,1,1.275
Millet,Millet (Finger/Ragi),Traditional,27.04,19.62,38.26,526.03,59.09,7.54,110,6.51,42.26,23.6,16.02,3.26,Loamy,63.07,Rainfed,Kharif,Rice,10.26,29.39,23.88,16.97,0,1.394
Millet,Millet (Pearl/Bajra),HYV,28.94,22.63,37.43,418.03,48.76,9.73,66,6.94,45.44,23.8,29.17,2.72,Loamy,33.68,Sprinkler,Kharif,Cotton,17.91,56.37,28.36,25.94,1,3.158
Maize,Maize (Popcorn),Hybrid,26.72,20.86,36.52,748.87,63.81,7.77,100,5.9,91.33,46.97,48.34,2.88,Alluvial,59.36,Drip,Kharif,Cotton,9.74,108.33,48.98,44.58,1,5.101
Millet,Millet (Foxtail),Traditional,29.59,22.94,37.7,536.7,45.97,9.85,82,6.66,35.52,21.65,15.41,2.51,Loamy,42.64,Sprinkler,Kharif,Maize,7.78,26.58,18.31,14.28,0,2.207
Rice,Rice (Non-Basmati),HYV,31.74,25.81,40.39,1194.79,86.14,6.83,131,7.0,108.59,45.61,46.46,2.86,Sandy,68.22,Flood,Kharif,Millet,2.93,102.1,57.5,59.79,0,5.943
Wheat,Wheat (Sharbati),Hybrid,18.8,13.28,27.54,533.91,52.64,9.12,120,6.55,89.32,40.96,36.84,2.21,Loamy,42.25,Drip,Rabi,Wheat,16.21,88.89,46.14,38.36,1,5.725
Rice,Rice (Sona Masuri),Hybrid,29.31,23.19,36.64,1295.22,84.67,6.2,134,5.66,76.19,40.52,44.88,3.98,Alluvial,69.51,Sprinkler,Kharif,Pulses,13.55,81.41,46.07,47.85,1,7.624
Wheat,Wheat (Common),Traditional,19.92,13.06,28.88,587.32,62.8,9.51,121,7.1,84.61,45.97,34.02,1.87,Alluvial,52.4,Drip,Rabi,Cotton,18.88,46.04,22.87,19.61,1,6.139
Maize,Maize (Sweet Corn),Hybrid,24.62,19.43,35.65,539.26,73.4,7.73,95,6.79,102.33,51.34,48.12,2.91,Alluvial,56.52,Drip,Kharif,Cotton,16.11,116.43,69.17,63.44,1,6.791
Maize,Maize (Feed Corn),HYV,27.38,19.41,37.45,775.66,78.28,7.84,93,5.81,121.87,73.63,62.18,2.18,Alluvial,79.37,Flood,Zaid,Soybean,4.66,135.84,62.1,68.57,1,5.209
Millet,Millet (Foxtail),Traditional,31.95,26.24,43.4,367.34,57.86,10.0,64,6.9,34.66,18.1,18.73,2.44,Red,36.06,Rainfed,Kharif,Cotton,13.79,24.8,13.41,10.61,1,1.334
Maize,Maize (Popcorn),HYV,26.17,19.28,34.7,649.86,62.74,8.8,94,6.62,81.01,58.88,44.87,4.42,Loamy,50.52,Sprinkler,Kharif,Millet,1.51,65.84,38.77,28.86,1,4.88
